title,year,name,type,character,n
Bert,2006,Eric Aagesen,actor,Director Kid,
Winnie og Karina - The Movie,2009,Kristoffer Bjerre Aagesen,actor,Praktikanten,27
Hellmaster,1992,Larry Aagesen,actor,Extra,25
Mimosas,2016,Said Aagli,actor,Sa?d,3
Pusher,1996,Thomas Aagren,actor,M?rten,23
Banzai Motherfucker!,2006,Per-Sigmund Moen Aahjem,actor,Crackhead,14
Beast (IV),2011,Brian Aah?j,actor,Falckredder,8
Chandni Chowk to China,2009,Aakar,actor,Infant Sidhu,22
Babul,1986,Aakash,actor,Ashok,
Mumbai Mast Kallander,2011,Aakash,actor,Guard,23
Mumbai Meri Jaan,2008,Aakash (II),actor,Yusuf's Friend 1,12
Bujjigaadu: Made in Chennai,2008,Aakash (IV),actor,Younger Bujji,
Business Man,2012,Aakash (IV),actor,Younger Surya,
Chirutha,2007,Aakash (IV),actor,Young Charan,19
Dhoni,2012,Aakash (IV),actor,Karthick Subramaniam,2
Gabbar Singh,2012,Aakash (IV),actor,Gabbar Singh at age 10,
The Lotus Pond,2010,Aakash (IV),actor,Neeraj,
Nesthama,2008,Aakash (VI),actor,Ravi,
Antaratama,2008,Shyamal Aakash,actor,Naren,3
Escaping the Dead,2017,Tobias Alring Aakast,actor,Zombie,
City of Tiny Lights,2016,Antonio Aakeel,actor,Young Lovely,7
Inspiration Shines Through,2006,Antonio Aakeel,actor,Rishi,12
The Contract,2016,Antonio Aakeel,actor,Raza,8
Bigger Than Life,1956,Dee Aaker,actor,Joe,
Mister Scoutmaster,1953,Dee Aaker,actor,Bit Role,
Spin and Marty: The Movie,1955,Dee Aaker,actor,Russel the Muscle,13
The Kid from Left Field,1953,Dee Aaker,actor,3rd Baseman,
Neil Stryker and the Tyrant of Time,2016,Jedediah Aaker,actor,Swashbuckler #1,20
A Lion Is in the Streets,1953,Lee Aaker,actor,Johnny Briscoe,
Arena,1953,Lee Aaker,actor,Teddy Hutchins,7
Black Tuesday,1954,Lee Aaker,actor,Little Boy,
Bye Bye Birdie,1963,Lee Aaker,actor,Student leader,25
Desperate Search,1952,Lee Aaker,actor,Don Heldon,6
Destry,1954,Lee Aaker,actor,Eli Skinner,13
Hans Christian Andersen,1952,Lee Aaker,actor,Little Boy,
Her Twelve Men,1954,Lee Aaker,actor,Michael Elliott,
High Noon,1952,Lee Aaker,actor,Boy,
Hondo,1953,Lee Aaker,actor,Johnny Lowe,9
Jeopardy,1953,Lee Aaker,actor,Bobby Stilwin,4
Mister Scoutmaster,1953,Lee Aaker,actor,Arthur,11
My Son John,1952,Lee Aaker,actor,Boy,
No Room for the Groom,1952,Lee Aaker,actor,Donovan,8
O. Henry's Full House,1952,Lee Aaker,actor,"J.B. Dorset aka Red Chief (segment ""The Ransom of Red Chief"")",14
Ricochet Romance,1954,Lee Aaker,actor,Timmy Williams,10
Ride Clear of Diablo,1954,Lee Aaker,actor,Boy,
Something to Live For,1952,Lee Aaker,actor,Alternate Boy,
Take Me to Town,1953,Lee Aaker,actor,Corney Hall,5
The Atomic City,1952,Lee Aaker,actor,Tommy Addison,5
The Challenge of Rin Tin Tin,1958,Lee Aaker,actor,Rusty,
The Greatest Show on Earth,1952,Lee Aaker,actor,Little Boy Spectator,
The Raid,1954,Lee Aaker,actor,Larry's Friend,
In the Dark (VII),2015,Scott Aaker,actor,"The Creature (segment ""The Keeper"")",
"Se til venstre, der er en svensker",2003,Kim Fupz Aakeson,actor,Patient,
5 Seasons,2015,Jim Aal,actor,Karl,
Triumph67,2010,Kareem Aal,actor,Sami Aziz,
The Gospel of John,2014,Ramdane Aala,actor,Caiaphas,
The Gospel of Luke,2015,Ramdane Aala,actor,Caiaphas,
The Gospel of Mark,2015,Ramdane Aala,actor,Caiaphas,
The Gospel of Matthew,2014,Ramdane Aala,actor,Caiaphas,
30:e november,1995,Steve Aalam,actor,Nabil,9
9 millimeter,1997,Steve Aalam,actor,Rico,3
Gangster,2007,Steve Aalam,actor,Romello,16
It's All About Love,2003,Steve Aalam,actor,Managers Assistant,
Angel City,2006,Craig Aaland,actor,Lars,
"Lovers, Liars and Thieves",1997,George Aalbregise,actor,Thug #3,35
Lang Leve de Achterhoek,2015,Dick Aalderink,actor,Himself,
Ashby,2015,Adam Aalderks,actor,Valchek,11
Blue,2015,Adam Aalderks,actor,Andrew,
C.I.G.A.R.,2014,Adam Aalderks,actor,Vito,
Curveball,2015,Adam Aalderks,actor,Sam,
Nightstalking,2014,Adam Aalderks,actor,Jeff,
Her Minor Thing,2005,Erik Aalgaard,actor,News Guy,
Carlo & Ester,1994,Preben Aalholt,actor,Vicar,11
Retorno a Hansala,2008,Hassan Aallou,actor,Mec?nico taller,29
Vivere,2007,Evert Aalten,actor,Bandmember - Keyboards,10
Compadres,2006,Davin Aalto,actor,Adam,
Papukaijamies,1992,Henri Aalto,actor,Sami,7
Dokumentti Autokauppias Pentti Aulosteesta,2016,Kari (II) Aalto,actor,Naapuri Saunassa,
Lunastus,1997,Keijo Aalto,actor,Red,17
Kaivo,1992,Petri Aalto,actor,Constestant,
Loma,1976,Petri Aalto,actor,Vacationer,
Ursula,1986,Petri Aalto,actor,Harri,2
And White Was the Night,2015,Rostislav Aalto,actor,Mikhael,
Klassikko,2001,Tero Aalto,actor,Cop,41
Ollaan vapaita,2015,Ville Aalto,actor,Henrin b?ndi,20
